 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\14C6_in_Mylar.txt

 Ion = Carbon [6] , Mass = 13.99995 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.244E+01  1.206E+02     422 A       151 A       110 A   
  11.00 keV   8.647E+01  1.174E+02     462 A       163 A       119 A   
  12.00 keV   9.031E+01  1.144E+02     503 A       174 A       128 A   
  13.00 keV   9.400E+01  1.116E+02     543 A       185 A       137 A   
  14.00 keV   9.755E+01  1.089E+02     584 A       196 A       145 A   
  15.00 keV   1.010E+02  1.064E+02     624 A       206 A       154 A   
  16.00 keV   1.043E+02  1.040E+02     665 A       216 A       162 A   
  17.00 keV   1.075E+02  1.017E+02     706 A       226 A       171 A   
  18.00 keV   1.106E+02  9.955E+01     746 A       236 A       179 A   
  20.00 keV   1.166E+02  9.552E+01     827 A       255 A       195 A   
  22.50 keV   1.237E+02  9.099E+01     928 A       278 A       215 A   
  25.00 keV   1.304E+02  8.693E+01    1029 A       299 A       235 A   
  27.50 keV   1.367E+02  8.328E+01    1129 A       320 A       254 A   
  30.00 keV   1.421E+02  7.997E+01    1228 A       339 A       273 A   
  32.50 keV   1.470E+02  7.696E+01    1327 A       358 A       291 A   
  35.00 keV   1.518E+02  7.420E+01    1426 A       376 A       309 A   
  37.50 keV   1.563E+02  7.167E+01    1524 A       393 A       326 A   
  40.00 keV   1.607E+02  6.933E+01    1622 A       410 A       343 A   
  45.00 keV   1.690E+02  6.516E+01    1816 A       442 A       376 A   
