 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\14N7_in_Mylar.txt

 Ion = Nitrogen [7] , Mass = 13.99923 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.595E+01  1.442E+02     362 A       132 A        97 A   
  11.00 keV   1.006E+02  1.409E+02     396 A       142 A       104 A   
  12.00 keV   1.051E+02  1.377E+02     430 A       152 A       112 A   
  13.00 keV   1.094E+02  1.347E+02     464 A       161 A       119 A   
  14.00 keV   1.135E+02  1.318E+02     498 A       171 A       126 A   
  15.00 keV   1.175E+02  1.291E+02     532 A       180 A       134 A   
  16.00 keV   1.214E+02  1.264E+02     566 A       189 A       141 A   
  17.00 keV   1.251E+02  1.239E+02     600 A       197 A       148 A   
  18.00 keV   1.287E+02  1.215E+02     634 A       206 A       155 A   
  20.00 keV   1.357E+02  1.170E+02     702 A       222 A       169 A   
  22.50 keV   1.439E+02  1.118E+02     786 A       242 A       186 A   
  25.00 keV   1.517E+02  1.072E+02     870 A       261 A       202 A   
  27.50 keV   1.591E+02  1.030E+02     953 A       278 A       218 A   
  30.00 keV   1.646E+02  9.914E+01    1036 A       295 A       234 A   
  32.50 keV   1.701E+02  9.563E+01    1119 A       312 A       249 A   
  35.00 keV   1.757E+02  9.240E+01    1202 A       328 A       265 A   
  37.50 keV   1.814E+02  8.942E+01    1284 A       343 A       279 A   
  40.00 keV   1.869E+02  8.665E+01    1366 A       358 A       294 A   
  45.00 keV   1.972E+02  8.169E+01    1528 A       386 A       322 A   
