 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\15N7in_Mylar.txt

 Ion = Nitrogen [7] , Mass = 14.99627 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.271E+01  1.497E+02     362 A       130 A        95 A   
  11.00 keV   9.723E+01  1.464E+02     396 A       139 A       102 A   
  12.00 keV   1.016E+02  1.432E+02     430 A       149 A       109 A   
  13.00 keV   1.057E+02  1.402E+02     464 A       158 A       117 A   
  14.00 keV   1.097E+02  1.373E+02     497 A       167 A       124 A   
  15.00 keV   1.135E+02  1.345E+02     531 A       176 A       131 A   
  16.00 keV   1.173E+02  1.318E+02     565 A       185 A       138 A   
  17.00 keV   1.209E+02  1.292E+02     599 A       194 A       145 A   
  18.00 keV   1.244E+02  1.267E+02     633 A       202 A       152 A   
  20.00 keV   1.311E+02  1.221E+02     701 A       219 A       165 A   
  22.50 keV   1.391E+02  1.169E+02     785 A       238 A       182 A   
  25.00 keV   1.466E+02  1.121E+02     870 A       257 A       198 A   
  27.50 keV   1.537E+02  1.078E+02     953 A       275 A       214 A   
  30.00 keV   1.606E+02  1.038E+02    1037 A       292 A       230 A   
  32.50 keV   1.653E+02  1.002E+02    1120 A       308 A       245 A   
  35.00 keV   1.705E+02  9.688E+01    1203 A       324 A       260 A   
  37.50 keV   1.758E+02  9.380E+01    1285 A       339 A       275 A   
  40.00 keV   1.810E+02  9.093E+01    1368 A       354 A       289 A   
  45.00 keV   1.911E+02  8.579E+01    1531 A       382 A       318 A   
