 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12_in_He250torr.txt.txt

 Ion = Magnesium [12] , Mass = 23.97846 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.966E-03  1.645E-02  548.45 um   104.13 um    88.16 um  
  11.00 keV   2.062E-03  1.623E-02  599.14 um   112.43 um    95.28 um  
  12.00 keV   2.154E-03  1.602E-02  650.24 um   120.68 um   102.38 um  
  13.00 keV   2.242E-03  1.580E-02  701.77 um   128.88 um   109.47 um  
  14.00 keV   2.326E-03  1.558E-02  753.75 um   137.05 um   116.57 um  
  15.00 keV   2.408E-03  1.537E-02  806.17 um   145.20 um   123.66 um  
  16.00 keV   2.487E-03  1.516E-02  859.04 um   153.32 um   130.77 um  
  17.00 keV   2.564E-03  1.495E-02  912.37 um   161.42 um   137.88 um  
  18.00 keV   2.638E-03  1.475E-02  966.13 um   169.49 um   145.01 um  
  20.00 keV   2.781E-03  1.436E-02    1.08 mm   185.87 um   159.33 um  
  22.50 keV   2.949E-03  1.390E-02    1.21 mm   206.36 um   177.34 um  
  25.00 keV   3.109E-03  1.346E-02    1.35 mm   226.70 um   195.47 um  
  27.50 keV   3.261E-03  1.306E-02    1.50 mm   246.91 um   213.74 um  
  30.00 keV   3.406E-03  1.268E-02    1.64 mm   266.99 um   232.14 um  
  32.50 keV   3.545E-03  1.233E-02    1.79 mm   286.95 um   250.66 um  
  35.00 keV   3.678E-03  1.199E-02    1.94 mm   306.80 um   269.31 um  
