 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13_in_He250torr.txt.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.406E-03  1.798E-02  509.96 um    95.64 um    81.39 um  
  11.00 keV   2.524E-03  1.779E-02  555.75 um   103.01 um    87.77 um  
  12.00 keV   2.636E-03  1.759E-02  601.78 um   110.32 um    94.11 um  
  13.00 keV   2.744E-03  1.739E-02  648.08 um   117.57 um   100.43 um  
  14.00 keV   2.847E-03  1.718E-02  694.68 um   124.77 um   106.73 um  
  15.00 keV   2.947E-03  1.697E-02  741.57 um   131.94 um   113.01 um  
  16.00 keV   3.044E-03  1.677E-02  788.76 um   139.07 um   119.29 um  
  17.00 keV   3.138E-03  1.657E-02  836.27 um   146.17 um   125.56 um  
  18.00 keV   3.229E-03  1.637E-02  884.09 um   153.24 um   131.83 um  
  20.00 keV   3.403E-03  1.597E-02  980.67 um   167.54 um   144.39 um  
  22.50 keV   3.610E-03  1.551E-02    1.10 mm   185.37 um   160.11 um  
  25.00 keV   3.805E-03  1.506E-02    1.23 mm   203.01 um   175.87 um  
  27.50 keV   3.991E-03  1.465E-02    1.35 mm   220.48 um   191.68 um  
  30.00 keV   4.168E-03  1.425E-02    1.48 mm   237.80 um   207.54 um  
  32.50 keV   4.338E-03  1.388E-02    1.61 mm   254.96 um   223.46 um  
  35.00 keV   4.502E-03  1.353E-02    1.74 mm   271.99 um   239.43 um  
