 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13_in_He250torr.txt.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.758E-03  1.948E-02  466.36 um    85.48 um    73.26 um  
  11.00 keV   3.941E-03  1.931E-02  506.56 um    91.72 um    78.74 um  
  12.00 keV   4.117E-03  1.913E-02  546.82 um    97.88 um    84.17 um  
  13.00 keV   4.285E-03  1.895E-02  587.14 um   103.96 um    89.55 um  
  14.00 keV   4.447E-03  1.875E-02  627.56 um   109.98 um    94.88 um  
  15.00 keV   4.603E-03  1.856E-02  668.09 um   115.93 um   100.19 um  
  16.00 keV   4.754E-03  1.836E-02  708.74 um   121.84 um   105.46 um  
  17.00 keV   4.900E-03  1.817E-02  749.51 um   127.69 um   110.70 um  
  18.00 keV   5.042E-03  1.797E-02  790.42 um   133.49 um   115.92 um  
  20.00 keV   5.315E-03  1.759E-02  872.64 um   145.16 um   126.31 um  
  22.50 keV   5.637E-03  1.712E-02  976.20 um   159.60 um   139.21 um  
  25.00 keV   5.942E-03  1.667E-02    1.08 mm   173.76 um   152.03 um  
  27.50 keV   6.232E-03  1.625E-02    1.19 mm   187.67 um   164.78 um  
  30.00 keV   6.509E-03  1.584E-02    1.29 mm   201.34 um   177.47 um  
  32.50 keV   6.775E-03  1.546E-02    1.40 mm   214.79 um   190.10 um  
  35.00 keV   7.031E-03  1.510E-02    1.51 mm   228.04 um   202.68 um  
