 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 13, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\27Al13_in_He250Torr.txt

 Ion = Aluminum [13] , Mass = 26.97441 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.316E-03  1.828E-02  512.24 um    93.06 um    79.75 um  
  11.00 keV   2.429E-03  1.811E-02  557.70 um   100.14 um    85.94 um  
  12.00 keV   2.537E-03  1.793E-02  603.37 um   107.16 um    92.09 um  
  13.00 keV   2.641E-03  1.774E-02  649.28 um   114.12 um    98.22 um  
  14.00 keV   2.740E-03  1.755E-02  695.45 um   121.04 um   104.32 um  
  15.00 keV   2.836E-03  1.735E-02  741.89 um   127.92 um   110.41 um  
  16.00 keV   2.929E-03  1.716E-02  788.60 um   134.76 um   116.49 um  
  17.00 keV   3.020E-03  1.696E-02  835.61 um   141.57 um   122.56 um  
  18.00 keV   3.107E-03  1.677E-02  882.90 um   148.35 um   128.63 um  
  20.00 keV   3.275E-03  1.639E-02  978.37 um   162.08 um   140.77 um  
  22.50 keV   3.474E-03  1.594E-02    1.10 mm   179.21 um   155.96 um  
  25.00 keV   3.662E-03  1.550E-02    1.22 mm   196.16 um   171.18 um  
  27.50 keV   3.840E-03  1.509E-02    1.35 mm   212.94 um   186.44 um  
  30.00 keV   4.011E-03  1.470E-02    1.47 mm   229.58 um   201.75 um  
  32.50 keV   4.175E-03  1.434E-02    1.60 mm   246.08 um   217.11 um  
  35.00 keV   4.333E-03  1.399E-02    1.73 mm   262.46 um   232.52 um  
