 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 13, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\28Si14_in_He250Torr.txt

 Ion = Silicon [14] , Mass = 27.96925 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.622E-03  1.976E-02  469.61 um    83.55 um    72.01 um  
  11.00 keV   3.799E-03  1.961E-02  509.69 um    89.59 um    77.36 um  
  12.00 keV   3.968E-03  1.945E-02  549.79 um    95.54 um    82.65 um  
  13.00 keV   4.130E-03  1.928E-02  589.94 um   101.42 um    87.90 um  
  14.00 keV   4.286E-03  1.910E-02  630.16 um   107.24 um    93.10 um  
  15.00 keV   4.436E-03  1.892E-02  670.48 um   112.99 um    98.26 um  
  16.00 keV   4.582E-03  1.873E-02  710.90 um   118.70 um   103.40 um  
  17.00 keV   4.723E-03  1.855E-02  751.43 um   124.35 um   108.51 um  
  18.00 keV   4.860E-03  1.836E-02  792.08 um   129.96 um   113.59 um  
  20.00 keV   5.123E-03  1.799E-02  873.76 um   141.25 um   123.70 um  
  22.50 keV   5.433E-03  1.754E-02  976.60 um   155.24 um   136.25 um  
  25.00 keV   5.727E-03  1.711E-02    1.08 mm   168.95 um   148.72 um  
  27.50 keV   6.007E-03  1.669E-02    1.18 mm   182.43 um   161.12 um  
  30.00 keV   6.274E-03  1.630E-02    1.29 mm   195.69 um   173.46 um  
  32.50 keV   6.530E-03  1.592E-02    1.40 mm   208.74 um   185.74 um  
  35.00 keV   6.777E-03  1.556E-02    1.50 mm   221.60 um   197.98 um  
