 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\29P15_in_He250torr.txt

 Ion = Phosphorus [15] , Mass = 28.97357 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.182E-03  2.119E-02  454.95 um    81.00 um    69.80 um  
  11.00 keV   3.337E-03  2.107E-02  493.37 um    86.82 um    74.95 um  
  12.00 keV   3.485E-03  2.094E-02  531.81 um    92.56 um    80.06 um  
  13.00 keV   3.628E-03  2.079E-02  570.28 um    98.23 um    85.11 um  
  14.00 keV   3.765E-03  2.063E-02  608.83 um   103.84 um    90.13 um  
  15.00 keV   3.897E-03  2.046E-02  647.46 um   109.41 um    95.12 um  
  16.00 keV   4.025E-03  2.029E-02  686.19 um   114.93 um   100.07 um  
  17.00 keV   4.149E-03  2.012E-02  725.03 um   120.40 um   105.00 um  
  18.00 keV   4.269E-03  1.994E-02  763.99 um   125.84 um   109.92 um  
  20.00 keV   4.500E-03  1.958E-02  842.31 um   136.81 um   119.69 um  
  22.50 keV   4.773E-03  1.914E-02  940.97 um   150.43 um   131.84 um  
  25.00 keV   5.031E-03  1.871E-02    1.04 mm   163.83 um   143.93 um  
  27.50 keV   5.276E-03  1.830E-02    1.14 mm   177.03 um   155.97 um  
  30.00 keV   5.511E-03  1.790E-02    1.24 mm   190.07 um   167.98 um  
  32.50 keV   5.736E-03  1.751E-02    1.34 mm   202.95 um   179.96 um  
  35.00 keV   5.953E-03  1.715E-02    1.45 mm   215.68 um   191.92 um  
