 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\29P15_in_Mylar.txt.txt

 Ion = Phosphorus [15] , Mass = 28.97357 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.702E+01  4.149E+02     208 A        66 A        51 A   
  11.00 keV   9.127E+01  4.152E+02     224 A        71 A        54 A   
  12.00 keV   9.533E+01  4.150E+02     241 A        75 A        58 A   
  13.00 keV   9.922E+01  4.143E+02     257 A        80 A        61 A   
  14.00 keV   1.030E+02  4.133E+02     274 A        84 A        64 A   
  15.00 keV   1.066E+02  4.120E+02     290 A        88 A        68 A   
  16.00 keV   1.101E+02  4.104E+02     307 A        93 A        71 A   
  17.00 keV   1.135E+02  4.087E+02     323 A        97 A        74 A   
  18.00 keV   1.168E+02  4.068E+02     340 A       101 A        77 A   
  20.00 keV   1.231E+02  4.028E+02     373 A       109 A        84 A   
  22.50 keV   1.305E+02  3.972E+02     414 A       120 A        91 A   
  25.00 keV   1.376E+02  3.915E+02     455 A       130 A        99 A   
  27.50 keV   1.443E+02  3.856E+02     496 A       139 A       106 A   
  30.00 keV   1.507E+02  3.797E+02     537 A       149 A       114 A   
  32.50 keV   1.569E+02  3.739E+02     579 A       159 A       121 A   
  35.00 keV   1.628E+02  3.681E+02     620 A       168 A       129 A   
  37.50 keV   1.685E+02  3.625E+02     662 A       177 A       136 A   
  40.00 keV   1.741E+02  3.570E+02     704 A       187 A       143 A   
  45.00 keV   1.846E+02  3.464E+02     787 A       205 A       157 A   
