 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\3H1_in_Mylar.txt

 Ion = Hydrogen [1] , Mass = 3.015501 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.458E+01  2.721E+00    2694 A       772 A       770 A   
  11.00 keV   3.613E+01  2.552E+00    2924 A       804 A       812 A   
  12.00 keV   3.762E+01  2.405E+00    3149 A       833 A       852 A   
  13.00 keV   3.904E+01  2.277E+00    3368 A       860 A       889 A   
  14.00 keV   4.040E+01  2.163E+00    3583 A       884 A       923 A   
  15.00 keV   4.172E+01  2.061E+00    3792 A       907 A       956 A   
  16.00 keV   4.299E+01  1.969E+00    3997 A       928 A       987 A   
  17.00 keV   4.422E+01  1.886E+00    4198 A       947 A      1017 A   
  18.00 keV   4.541E+01  1.811E+00    4395 A       965 A      1045 A   
  20.00 keV   4.769E+01  1.679E+00    4778 A       999 A      1097 A   
  22.50 keV   5.036E+01  1.541E+00    5238 A      1036 A      1156 A   
  25.00 keV   5.286E+01  1.426E+00    5680 A      1069 A      1209 A   
  27.50 keV   5.522E+01  1.329E+00    6105 A      1098 A      1257 A   
  30.00 keV   5.745E+01  1.245E+00    6517 A      1123 A      1301 A   
  32.50 keV   5.957E+01  1.173E+00    6916 A      1147 A      1342 A   
  35.00 keV   6.158E+01  1.109E+00    7303 A      1168 A      1380 A   
  37.50 keV   6.349E+01  1.052E+00    7680 A      1187 A      1415 A   
  40.00 keV   6.531E+01  1.002E+00    8048 A      1205 A      1448 A   
