 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\6He2_in_Mylar.txt

 Ion = Helium [2] , Mass = 6.017788 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -0.83%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.598E+01  1.483E+01    1395 A       473 A       408 A   
  11.00 keV   4.822E+01  1.406E+01    1529 A       502 A       439 A   
  12.00 keV   5.037E+01  1.337E+01    1662 A       529 A       469 A   
  13.00 keV   5.243E+01  1.276E+01    1794 A       554 A       498 A   
  14.00 keV   5.442E+01  1.221E+01    1923 A       579 A       525 A   
  15.00 keV   5.635E+01  1.172E+01    2050 A       601 A       551 A   
  16.00 keV   5.821E+01  1.126E+01    2176 A       623 A       577 A   
  17.00 keV   6.002E+01  1.085E+01    2300 A       643 A       601 A   
  18.00 keV   6.177E+01  1.047E+01    2422 A       662 A       625 A   
  20.00 keV   6.515E+01  9.796E+00    2662 A       698 A       670 A   
  22.50 keV   6.915E+01  9.080E+00    2953 A       739 A       721 A   
  25.00 keV   7.293E+01  8.475E+00    3234 A       775 A       769 A   
  27.50 keV   7.652E+01  7.955E+00    3507 A       807 A       813 A   
  30.00 keV   7.994E+01  7.502E+00    3773 A       837 A       854 A   
  32.50 keV   8.321E+01  7.104E+00    4031 A       864 A       893 A   
  35.00 keV   8.634E+01  6.752E+00    4283 A       889 A       928 A   
  37.50 keV   8.934E+01  6.437E+00    4529 A       911 A       962 A   
  40.00 keV   9.222E+01  6.153E+00    4769 A       933 A       994 A   
