 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li3_in_Mylar.txt

 Ion = Lithium [3] , Mass = 7.014358 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.764E+01  3.037E+01     982 A       376 A       299 A   
  11.00 keV   4.997E+01  2.900E+01    1083 A       404 A       325 A   
  12.00 keV   5.219E+01  2.777E+01    1184 A       431 A       351 A   
  13.00 keV   5.432E+01  2.665E+01    1285 A       456 A       376 A   
  14.00 keV   5.637E+01  2.564E+01    1385 A       481 A       400 A   
  15.00 keV   5.823E+01  2.471E+01    1485 A       504 A       424 A   
  16.00 keV   6.004E+01  2.385E+01    1584 A       527 A       447 A   
  17.00 keV   6.179E+01  2.307E+01    1682 A       549 A       470 A   
  18.00 keV   6.349E+01  2.234E+01    1780 A       570 A       492 A   
  20.00 keV   6.677E+01  2.104E+01    1975 A       609 A       535 A   
  22.50 keV   7.067E+01  1.963E+01    2215 A       656 A       586 A   
  25.00 keV   7.437E+01  1.843E+01    2450 A       698 A       635 A   
  27.50 keV   7.792E+01  1.739E+01    2681 A       738 A       681 A   
  30.00 keV   8.132E+01  1.647E+01    2909 A       774 A       725 A   
  32.50 keV   8.460E+01  1.566E+01    3132 A       808 A       766 A   
  35.00 keV   8.777E+01  1.494E+01    3351 A       840 A       806 A   
  37.50 keV   9.085E+01  1.429E+01    3566 A       869 A       844 A   
  40.00 keV   9.384E+01  1.370E+01    3778 A       897 A       880 A   
