 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\a_in_He250torr.txt.txt

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.906E-03  4.963E-04    3.92 mm   853.55 um   826.51 um  
  11.00 keV   2.006E-03  4.658E-04    4.29 mm   901.30 um   888.29 um  
  12.00 keV   2.102E-03  4.392E-04    4.66 mm   945.15 um   946.58 um  
  13.00 keV   2.195E-03  4.158E-04    5.01 mm   985.55 um     1.00 mm  
  14.00 keV   2.285E-03  3.951E-04    5.37 mm     1.02 mm     1.05 mm  
  15.00 keV   2.373E-03  3.766E-04    5.71 mm     1.06 mm     1.10 mm  
  16.00 keV   2.459E-03  3.600E-04    6.04 mm     1.09 mm     1.15 mm  
  17.00 keV   2.543E-03  3.449E-04    6.37 mm     1.12 mm     1.19 mm  
  18.00 keV   2.625E-03  3.312E-04    6.69 mm     1.15 mm     1.24 mm  
  20.00 keV   2.785E-03  3.071E-04    7.32 mm     1.20 mm     1.32 mm  
  22.50 keV   2.978E-03  2.820E-04    8.06 mm     1.26 mm     1.40 mm  
  25.00 keV   3.165E-03  2.611E-04    8.78 mm     1.31 mm     1.48 mm  
  27.50 keV   3.345E-03  2.434E-04    9.46 mm     1.35 mm     1.56 mm  
  30.00 keV   3.520E-03  2.281E-04   10.12 mm     1.39 mm     1.62 mm  
  32.50 keV   3.691E-03  2.148E-04   10.74 mm     1.43 mm     1.68 mm  
  35.00 keV   3.858E-03  2.032E-04   11.35 mm     1.46 mm     1.74 mm  
