 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\p_in_He250torr.txt.txt

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.334E-03  4.459E-05    9.49 mm     2.89 mm     3.00 mm  
  11.00 keV   2.630E-03  4.149E-05    9.85 mm     2.92 mm     3.04 mm  
  12.00 keV   2.908E-03  3.883E-05   10.18 mm     2.93 mm     3.08 mm  
  13.00 keV   3.160E-03  3.651E-05   10.49 mm     2.95 mm     3.10 mm  
  14.00 keV   3.381E-03  3.449E-05   10.77 mm     2.96 mm     3.13 mm  
  15.00 keV   3.570E-03  3.269E-05   11.04 mm     2.97 mm     3.15 mm  
  16.00 keV   3.725E-03  3.109E-05   11.30 mm     2.98 mm     3.17 mm  
  17.00 keV   3.852E-03  2.966E-05   11.55 mm     2.98 mm     3.18 mm  
  18.00 keV   3.954E-03  2.836E-05   11.80 mm     2.99 mm     3.20 mm  
  20.00 keV   4.107E-03  2.610E-05   12.27 mm     3.00 mm     3.22 mm  
  22.50 keV   4.251E-03  2.378E-05   12.85 mm     3.02 mm     3.25 mm  
  25.00 keV   4.387E-03  2.186E-05   13.41 mm     3.03 mm     3.28 mm  
  27.50 keV   4.532E-03  2.026E-05   13.96 mm     3.04 mm     3.30 mm  
  30.00 keV   4.687E-03  1.889E-05   14.49 mm     3.05 mm     3.32 mm  
  32.50 keV   4.846E-03  1.771E-05   15.00 mm     3.05 mm     3.33 mm  
