 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\p_in_Mylar.txt.txt

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.740E+01  9.748E-01    1973 A       528 A       547 A   
  11.00 keV   5.992E+01  9.126E-01    2125 A       543 A       570 A   
  12.00 keV   6.229E+01  8.588E-01    2272 A       556 A       591 A   
  13.00 keV   6.453E+01  8.116E-01    2414 A       569 A       611 A   
  14.00 keV   6.665E+01  7.700E-01    2553 A       580 A       629 A   
  15.00 keV   6.865E+01  7.329E-01    2689 A       590 A       646 A   
  16.00 keV   7.055E+01  6.995E-01    2822 A       600 A       662 A   
  17.00 keV   7.236E+01  6.694E-01    2951 A       609 A       677 A   
  18.00 keV   7.407E+01  6.421E-01    3078 A       617 A       692 A   
  20.00 keV   7.726E+01  5.943E-01    3326 A       633 A       718 A   
  22.50 keV   8.083E+01  5.446E-01    3624 A       650 A       748 A   
  25.00 keV   8.402E+01  5.033E-01    3912 A       665 A       776 A   
  27.50 keV   8.687E+01  4.684E-01    4191 A       679 A       800 A   
  30.00 keV   8.942E+01  4.385E-01    4463 A       691 A       823 A   
  32.50 keV   9.171E+01  4.125E-01    4728 A       702 A       845 A   
  35.00 keV   9.376E+01  3.897E-01    4988 A       712 A       865 A   
  37.50 keV   9.562E+01  3.695E-01    5244 A       722 A       883 A   
  40.00 keV   9.728E+01  3.514E-01    5495 A       731 A       901 A   
